respid,collect.id,startdate,enddate,freq.visit,freq.other,access.train,access.unitrans,access.amtrakbus,access.park,access.enjoy,access.other,time.visit,time.other,duration.visit,who.with,with.other,tripstart,start.other,tripend,end.other,zip,access.mode,access.other,walk.far,walk.issues,walk.weather,walk.safety,walk.facilities,bike.facilities,bike.far,bike.notown,bike.network,bike.safety,bike.ability,bike.weather,bike.amenities,bike.issues,bike.never,bike.parking,transit.farhome,transit.farwork,transit.time,transit.costs,transit.complex,transit.safety,transit.routes,transit.times,transit.frequency,transit.parkingcheap,transit.never,transit.unreliable,safety.satisfied,bike.satisfied,walk.satisfied,transit.satisfied,driving.satisfied,parking.satisfied,activity.satisfied,architecture.enjoy,access.enjoy,clean.enjoy,quiet.ejoy,lively.enjoy,parking.enjoy,useful.enjoy,other.enjoy,bus.support,signs.support,pedestrian.support,dropoff.support,bikepark.support,carpark.support,bathroom.support,art.support,coffee.support,bikevalet.support,stores.support,housing.support,office.support,plaza.support,cultural.support,evcharge.support,indoorbike.support,openresponse,noneed.prevent,difficult.prevent,parking.prevent,safety.prevent,trainservice.prevent,activity.prevent,bus.encourage,signs.encourage,pedestrain.encourage,dropoff.encourage,bikepark.encourage,carpark.encourage,bathroom.encourage,art.encourage,coffee.encourage,bikevalet.enocurage,store.encourage,housing.encourage,office.encourage,activespace.encourage,performance.encourage,openspace.encourage,plaza.encourage,cultural.encourage,evcharge.encourage,trainservice.encourage,future.vision,zipcode,updates,gender,gender.other,lgbt,asian,black.african,Caucasian,hispanic.latinx,native.american,pacific.island,ethnicity.notsay,ethnicity.other,age,hh.ft.wrkr,hhincome,hhvehicles
10822699329,235066737,2019-06-25 15:41:57,2019-06-25 15:49:01,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning only,,30 minutes - 1 hour,I'm always alone.,,Downtown Davis,,Bay Area,,95616,I drive alone,,First reason,Third reason,Second reason,,,,,,,,,Second reason,,,,First reason,,,Second reason,,First reason,,,,Third reason,,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied,Historic architecture,Easy to access location,Clean and well-maintained,Quiet,,,Useful transportation services,,Neutral,Neutral,Neutral,Strongly support,Strongly support,Strongly support,Strongly support,Neutral,Strongly oppose,Neutral,Strongly oppose,Strongly oppose,Strongly oppose,Neutral,Neutral,Strongly support,Strongly support,PLEASE MORE PARKING!!!! Both for cars and bikes!!!  It's absurd that there's not more parking. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,1
10822688627,235066737,2019-06-25 15:35:46,2019-06-25 15:42:00,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,I'm always alone.,,Somewhere else in Davis,,Somewhere else in Davis,,95616,I walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Satisfied,Satisfied,Neutral,,Dissatisfied,Neutral,,,,Quiet,,,,,Strongly support,Strongly support,Support,Strongly support,Support,Strongly support,Support,Support,Support,Neutral,Oppose,Strongly oppose,Neutral,Neutral,Neutral,Neutral,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,,,Caucasian,,,,,,65+,1,"Over $150,000",2
10822676002,235066737,2019-06-25 13:03:14,2019-06-25 15:33:28,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,,,During the day,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Bay Area,,95618,I get picked up/dropped off by a friend or family member,,First reason,,,Second reason,Third reason,,First reason,,,Second reason,,,,,,Third reason,Second reason,,Third reason,,,,,,First reason,,,,Satisfied,Neutral,Neutral,Dissatisfied,,Dissatisfied,Dissatisfied,Historic architecture,,,,,,,,Strongly support,Strongly support,Strongly support,Strongly support,,,,,Strongly support,,,,,Strongly support,Strongly support,Strongly support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,,,Caucasian,,,,,,25-34,1,"Between $30,000 and $49,999",0
10822671356,235066737,2019-06-25 15:26:24,2019-06-25 15:32:06,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,To enjoy the public spaces at the station.,,Morning and evening,,More than 1 hour,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Bay Area,,95616,I drive with others,,First reason,,,,,,,,,,,First reason,,,,,,,First reason,,,,,,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Historic architecture,,,,,Convenient parking,,,Support,Support,Support,Support,Strongly support,Strongly support,Support,Neutral,Neutral,Neutral,Neutral,Oppose,Oppose,Oppose,Neutral,Strongly support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,,No,,,Caucasian,,,,,,55-64,1,"Between $100,000 and $150,000",3
10822669672,235066737,2019-06-25 15:25:40,2019-06-25 15:28:41,Once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Somewhat false,False,Somewhat false,False,Definitely not,Definitely not,Probably not,Probably not,,Probably not,Definitely not,Probably not,Definitely not,Probably not,Definitely not,Definitely not,Probably not,Maybe,Maybe,Maybe,Definitely not,Yes,Definitely not,Yes,less expensive fares! ,95616,No,Prefer not to say,,Prefer not to say,,,,,,,Prefer not to say,,55-64,2,"Over $150,000",2
10822647725,235066737,2019-06-25 15:13:47,2019-06-25 15:18:21,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,I'm always alone.,,"Somewhere else in Yolo County (Woodland, West Sacramento, etc.)",,Downtown Davis,,95627,I drive alone,,First reason,,,,,,First reason,,,,,,,,,,First reason,,,,,,,,,,,,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Historic architecture,,Clean and well-maintained,Quiet,,,Useful transportation services,,Neutral,Neutral,Support,Support,Neutral,Strongly oppose,Neutral,Support,Oppose,Neutral,Neutral,Neutral,Neutral,Support,Support,Support,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,,No,,,Caucasian,,,,,,65+,,"Between $100,000 and $150,000",1
10822602643,235066737,2019-06-25 14:50:12,2019-06-25 14:56:59,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Bay Area,,95616,I drive with others,,First reason,,Second reason,,,Second reason,,,,First reason,,,,,,,,,First reason,,Third reason,,,,Second reason,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Very Dissatisfied,Neutral,,Easy to access location,,,,,,,Support,Neutral,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Neutral,Strongly support,Strongly support,Neutral,Support,Neutral,Strongly support,Strongly support,"For several years I commuted to the bay area via Amtrak. After the 5:30am train, the lot fills up, and it's largely filled by people from Sacramento who don't want to park at Amtrak there because it is not free. It means Davis residents can't park there. I think it would be fair to make it free to Davis residents, and charge for others. I know Davis people who drive to the bay area bc they can't park in Davis to take the train.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10822575183,235066737,2019-06-25 14:35:52,2019-06-25 14:36:11,Once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10822565034,235066737,2019-06-25 14:31:12,2019-06-25 14:34:37,Once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Somewhat false,Neither true nor false,False,Somewhat true,Neither true nor false,Probably not,Maybe,Probably not,Probably not,Maybe,Yes,Probably not,Maybe,Yes,Probably not,Yes,Yes,Yes,Maybe,Probably not,Maybe,Maybe,Maybe,Maybe,Maybe,,95616,No,Male,,No,,,Caucasian,,,,,,45-54,2,,
10822491612,235066737,2019-06-25 13:56:46,2019-06-25 14:02:11,Once a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,To enjoy the public spaces at the station.,,During the day,,30 minutes - 1 hour,I'm always alone.,,UC Davis,,"Sacramento County (Sacramento, Elk Grove, Rancho Cordova, Citrus Heights, etc.)",,95616,I bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Historic architecture,Easy to access location,,,,,Useful transportation services,,Support,Strongly support,Neutral,Support,,Support,Support,Support,Support,Support,Neutral,Oppose,Neutral,Strongly support,Neutral,Support,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,,,Caucasian,,,,,,65+,2,"Between $75,000 and $99,999",2
10822484878,235066737,2019-06-25 13:46:37,2019-06-25 14:02:38,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Weekends and/or holidays,,More than 1 hour,My whole family.,,Downtown Davis,,Bay Area,,95618,I drive with others,,First reason,,Second reason,Third reason,,Second reason,,,,,,,,First reason,,Third reason,,,First reason,,,,,Second reason,Third reason,,,,Neutral,Neutral,Neutral,Dissatisfied,Satisfied,Neutral,Very Satisfied,Historic architecture,Easy to access location,Clean and well-maintained,,Lively,,,,Strongly support,Strongly support,Strongly support,Support,Support,Strongly support,Strongly support,Neutral,Oppose,Strongly support,Oppose,Oppose,Oppose,Neutral,Support,Neutral,Strongly support,"More access for wheelchair users, easier parking, some indoor bike parking would be amazing.  More shaded areas on the platforms for the long hot summers here, please!  Please don't lose the small town character of the station, it's so nice compared to Sac and Bay Area stations.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,,,Caucasian,,,,,,45-54,2,"Between $100,000 and $150,000",2
10822468804,235066737,2019-06-25 13:46:31,2019-06-25 13:59:54,Once a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,,,Morning and evening,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Bay Area,,95618,Other (please specify),all of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Very Satisfied,Very Satisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Historic architecture,Easy to access location,,Quiet,,,,,Support,Support,Strongly support,Strongly support,Strongly support,Neutral,Strongly support,Strongly support,Strongly support,Neutral,Strongly oppose,Neutral,Strongly support,Strongly support,Support,Support,Neutral,Security at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Prefer not to say,,Prefer not to say,,,,,,,Prefer not to say,,55-64,2,"Over $150,000",2
10822447946,235066737,2019-06-25 13:37:07,2019-06-25 13:37:44,Once a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10822443327,235066737,2019-06-25 13:35:30,2019-06-25 13:41:57,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,Somewhat false,True,Somewhat true,Yes,Definitely not,Maybe,Yes,Yes,Probably not,Yes,Probably not,Yes,Maybe,Probably not,Probably not,Definitely not,Probably not,Probably not,Maybe,Maybe,Probably not,Probably not,Yes,"I used to frequently ride Amtrak and the lack of ridership might have more to do with issues related directly to Amtrak, e.g., not enough space for bikes, not being able to bring dogs, the price of tickets (!). There's also not much incentive to ride the train knowing that getting home from the station is difficult. Lyft and Uber definitely alleviate this issue, but poor college students would definitely appreciate cheap public transit.",95616,No,Prefer not to say,,Prefer not to say,,,,,,,Prefer not to say,,35-44,1,"Between $30,000 and $49,999",0
10822434440,235066737,2019-06-25 13:31:29,2019-06-25 13:43:15,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,To enjoy the public spaces at the station.,,During the day,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Somewhere else in Davis,,95616,I drive alone,,First reason,,Second reason,,,,,,,Second reason,,First reason,,,,,,,First reason,,Second reason,,,Third reason,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Historic architecture,Easy to access location,Clean and well-maintained,,,Convenient parking,Useful transportation services,,Support,Support,Support,Strongly support,Neutral,Neutral,Neutral,Strongly support,Strongly support,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,,,Caucasian,,,,,,65+,0,"Between $30,000 and $49,999",1
10822402559,235066737,2019-06-25 13:18:05,2019-06-25 13:23:32,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,,,Weekends and/or holidays,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Bay Area,,95616,I drive with others,,First reason,,Second reason,,,,First reason,,,,,Second reason,,,,Third reason,,,First reason,,Second reason,,,,,,,,Very Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Very Satisfied,Historic architecture,Easy to access location,Clean and well-maintained,Quiet,,Convenient parking,,,Support,Support,Neutral,Support,Support,Support,Support,Support,Strongly support,Neutral,Oppose,Oppose,Oppose,Strongly support,Strongly support,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Male,,No,,,Caucasian,,,,,,25-34,2,"Between $100,000 and $150,000",1
10822390507,235066737,2019-06-25 13:13:33,2019-06-25 13:30:20,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,A group of friends or colleagues.,,Downtown Davis,,Downtown Davis,,95616,I drive alone,,Second reason,,First reason,Third reason,,,,,,First reason,,Third reason,,,,Second reason,,,,,,,,First reason,Second reason,,,,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Dissatisfied,Historic architecture,Easy to access location,Clean and well-maintained,,,Convenient parking,,,Strongly support,Neutral,Neutral,Strongly support,Support,Strongly support,Support,Support,Strongly support,,Oppose,Neutral,Oppose,Strongly support,Strongly support,Strongly support,Support,Do not allow commercial sales. Coffee OK.   Do not let Sacramento commuters take up space to park free. Do not introduce meters. Earlier bus lines for earlier trains. More discounts -- $10 round trips.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Prefer not to say,,Prefer not to say,,,,,,,,"English, Irish, German descent",65+,3,"Between $15,000 and $29,999",1
10822365984,235066737,2019-06-25 13:03:36,2019-06-25 13:04:04,Once a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10822365354,235066737,2019-06-25 13:03:36,2019-06-25 13:06:03,Once a month,,,,,,,,,,,,,,,,,95616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10822345008,235066737,2019-06-25 12:55:33,2019-06-25 13:00:09,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,To enjoy the public spaces at the station.,,During the day,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Somewhere else in Davis,,95616,I walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Very Satisfied,Historic architecture,,,,,,,,Support,Neutral,Support,Support,Neutral,Neutral,Neutral,Support,Oppose,Neutral,Oppose,Strongly oppose,Oppose,Neutral,Support,Support,Neutral,Preserve the historic buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Male,,No,,,Caucasian,,,,,,65+,0,"Between $50,000 and $74,999",2
10822338742,235066737,2019-06-25 12:53:00,2019-06-25 12:58:04,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,I'm always alone.,,Downtown Davis,,Downtown Davis,,95618,I get picked up/dropped off by a friend or family member,,First reason,,Third reason,Second reason,,,,First reason,,,Second reason,,,,Third reason,,First reason,,Second reason,Third reason,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Neutral,,,,Quiet,,,,,Strongly support,Strongly support,Strongly support,Strongly support,Strongly oppose,Strongly support,Strongly support,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,Strongly oppose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Male,,Yes,,,Caucasian,,,,,,35-44,1,"Under $15,000",0
10822315861,235066737,2019-06-25 12:43:20,2019-06-25 12:58:00,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Downtown Davis,,Bay Area,,95616,I get picked up/dropped off by a friend or family member,,First reason,Second reason,,,,,,,,First reason,,,,Second reason,,,,,,,First reason,,Second reason,Third reason,,,,,Neutral,,,,Very Dissatisfied,,,Historic architecture,,Clean and well-maintained,Quiet,,,,,Support,Neutral,Neutral,Neutral,Neutral,Strongly support,Neutral,Support,Neutral,Oppose,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Oppose,We have had to park at the movie theater and since my sister is handicapped we missed the train.  Why can't Davis residents have access to parking?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,,,Caucasian,,,,,,65+,0,"Between $100,000 and $150,000",1
10822314744,235066737,2019-06-25 12:42:49,2019-06-25 12:43:14,Once a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10822306582,235066737,2019-06-25 12:39:29,2019-06-25 12:43:49,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,During the day,,5-30 minutes,I'm always alone.,,Somewhere else in Davis,,Bay Area,,95618,I bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Historic architecture,Easy to access location,,,,,,,Neutral,Support,Support,Support,Strongly support,Neutral,Strongly support,Support,Support,Support,Oppose,Oppose,Oppose,Neutral,Support,Strongly support,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,,,Caucasian,,,,,,55-64,1,,1
10822292278,235066737,2019-06-25 12:33:36,2019-06-25 12:44:26,2 to 4 days a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,Other (please specify),A family member drives me there in the morning and picks me up in the evening,Somewhere else in Davis,,Bay Area,,95618,I get picked up/dropped off by a friend or family member,,First reason,,,,,,First reason,,,,,,,,,,,,,,,,First reason,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Very Dissatisfied,Neutral,Historic architecture,Easy to access location,,,,,Useful transportation services,,Neutral,Neutral,Neutral,Strongly support,Neutral,Strongly support,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly support,Neutral,Neutral,Neutral,"Reserved or preferred parking for Davis residents would be a great improvement. Most of the parking is taken up by Sacramento train users. They tell me they drive to Davis every morning b/c the Davis lot is less expensive, requires a shorter walk to the train from their parking spot, and has more availability. The Davis lot is just not large enough to support Davis train users and Sacramento users. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
10822280853,235066737,2019-06-25 12:28:49,2019-06-25 12:33:32,2 to 4 days a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,,,Morning and evening,,5-30 minutes,Other (please specify),I pick up and drop off my wife for a weekly commute to San Fransisco. ,Somewhere else in Davis,,Bay Area,,95616,I get picked up/dropped off by a friend or family member,,First reason,,,,,,,,,,,,,,,,,,First reason,,,,Second reason,,,,,,Very Satisfied,Very Satisfied,Very Satisfied,,Very Satisfied,Dissatisfied,Neutral,,Easy to access location,Clean and well-maintained,,,,,,Neutral,Neutral,Neutral,Support,Neutral,Support,Support,Support,Strongly support,Neutral,Support,Support,Support,Neutral,Support,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Male,,No,,,Caucasian,,,,,,35-44,2,"Over $150,000",2
10822276174,235066737,2019-06-25 12:25:47,2019-06-25 12:32:27,Once a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,I'm always alone.,,Somewhere else in Davis,,Somewhere else in Davis,,95616,I drive alone,,Second reason,,,First reason,,,Second reason,,,,,,,,,First reason,,,First reason,,,,,,,,,,Very Dissatisfied,Neutral,Satisfied,Neutral,Satisfied,Dissatisfied,Neutral,,Easy to access location,,,,,Useful transportation services,,Neutral,Oppose,Neutral,Oppose,Oppose,Support,Oppose,Strongly oppose,Oppose,Oppose,Oppose,Strongly oppose,Oppose,Strongly oppose,Strongly oppose,Strongly oppose,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Female,,Yes,,,,,Native American,,,,25-34,2,"Between $100,000 and $150,000",2
10822275010,235066737,2019-06-25 12:25:24,2019-06-25 12:34:34,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,,,Morning and evening,,5-30 minutes,Other (please specify),Picking up or dropping off folks using the train.,Somewhere else in Davis,,Somewhere else in Davis,,95616,Other (please specify),those I am picking up or dropping off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,,,,Neutral,Neutral,Satisfied,Historic architecture,,,,,,Useful transportation services,,Neutral,Neutral,Support,Neutral,Neutral,Support,Neutral,Support,Neutral,Neutral,Neutral,Oppose,Neutral,Support,Neutral,Neutral,Neutral,I think your questions should have had a space for not applicable. Or don't know  I put down neutral but I don't think that accurately states my opinion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Female,,No,,,Caucasian,,,,,,65+,1,"Between $100,000 and $150,000",3
10822262659,235066737,2019-06-25 12:21:04,2019-06-25 12:27:49,Once a month,,,,,I park at the station when I visit Downtown Davis.,To enjoy the public spaces at the station.,,Evening only,,30 minutes - 1 hour,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Somewhere else in Davis,,95616,I drive with others,,First reason,Third reason,Second reason,,,,,Third reason,,First reason,,,,Second reason,,,First reason,,Second reason,,,,Third reason,,,,,,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Historic architecture,Easy to access location,Clean and well-maintained,,,,,,Support,Neutral,Support,Support,Support,Strongly support,Support,Support,Strongly support,Support,Support,Oppose,Support,Support,Neutral,Strongly support,Oppose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Female,,No,,,Caucasian,,,,,,65+,0,"Between $75,000 and $99,999",2
10822241531,235066737,2019-06-25 12:12:23,2019-06-25 12:23:22,5 or more days a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,"Sacramento County (Sacramento, Elk Grove, Rancho Cordova, Citrus Heights, etc.)",,95616,I drive with others,,First reason,,Second reason,,Third reason,,Third reason,,,Second reason,,First reason,,,,,,,Third reason,,,,,First reason,Second reason,,,,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Historic architecture,Easy to access location,,Quiet,,,,,Neutral,Strongly support,Strongly support,Support,Strongly support,Strongly oppose,Strongly support,Strongly support,Strongly support,Neutral,Neutral,Strongly support,Support,Strongly support,Support,Strongly support,Strongly support,"I love using Amtrak to commute to work. Unfortunately, when I sit inside during poor weather, the station office smells very bad (often like urine) and it appears to be because homeless people frequently rest inside. The smell continues after they leave the office. I am very concerned that anyone has to be homeless in our resource-rich community and I don’t support policies that ban homeless from public spaces. However, I would appreciate the public conversation about improving the station to include how to help the City and residents find safe spaces for homeless people to live, sleep, and find resources so that the Amtrak station can be a comfortable place for Amtrak riders waiting for trains when there is poor weather outside.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Female,,No,,,Caucasian,,,,,,25-34,2,"Over $150,000",2
10822226847,235066737,2019-06-25 12:06:17,2019-06-25 12:08:54,Once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Neither true nor false,False,True,False,Probably not,Yes,Maybe,Maybe,Probably not,Maybe,Yes,Yes,Yes,Probably not,Yes,Probably not,Definitely not,Maybe,Yes,Maybe,Maybe,Yes,Probably not,Yes,,95618,No,Female,,No,,,Caucasian,,,,,,,,,2
10822221137,235066737,2019-06-25 12:03:56,2019-06-25 12:12:20,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,I park at the station when I visit Downtown Davis.,To enjoy the public spaces at the station.,,During the day,,5-30 minutes,"I travel with a friend, colleague, or family member.",,"Somewhere else in Yolo County (Woodland, West Sacramento, etc.)",,"Somewhere else in Yolo County (Woodland, West Sacramento, etc.)",,95618,I drive alone,,First reason,Third reason,Second reason,,,,Second reason,Third reason,,,,,,,First reason,,Second reason,,,,,,,First reason,,,,Third reason,Neutral,,,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Historic architecture,,,Quiet,,,,,Support,Neutral,Neutral,Neutral,Oppose,Strongly support,,Neutral,Oppose,Strongly oppose,Oppose,Strongly support,Strongly support,Oppose,Oppose,Oppose,Oppose,a giant parking lot with a few spaces for bikes.  the primary demand is for cars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Female,,No,,,,,,,Prefer not to say,,55-64,2,"Between $75,000 and $99,999",3
10822209800,235066737,2019-06-25 11:59:21,2019-06-25 12:07:33,Once a month,,,,,,To enjoy the public spaces at the station.,,During the day,,More than 1 hour,I'm always alone.,,Somewhere else in Davis,,Downtown Davis,,95618,I walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Neutral,Historic architecture,Easy to access location,Clean and well-maintained,,,,Useful transportation services,,Neutral,Neutral,Neutral,Support,Neutral,Neutral,Support,Strongly support,Strongly support,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,Strongly support,Strongly support,Strongly support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Prefer not to say,,Prefer not to say,,,,,,,Prefer not to say,,45-54,1,"Between $15,000 and $29,999",1
